AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
4196.666667,4208.717949,4186.410256,4196.282051,4143.846154,4187.564102,4183.974359,4191.923077,4198.717949,4146.794872,4163.461538,4350.769231,4194.871795,4230.897436
4201.410256,4210.51282,4188.717949,4198.461538,4142.564102,4189.487179,4185.897436,4194.102564,4203.333333,4146.282051,4175.25641,4348.717949,4197.435897,4230.384615
4200.384615,4203.205128,4183.205128,4194.487179,4147.051282,4187.051282,4179.615384,4187.179487,4200.897436,4145.769231,4180.384615,4341.923077,4202.051282,4224.487179
4198.333333,4200.641026,4183.205128,4198.205128,4144.487179,4185.641026,4174.871795,4184.615384,4200.897436,4147.051282,4183.076923,4348.717949,4153.461538,4222.948718
4196.794872,4206.153846,4185.25641,4203.717949,4145.641025,4190.897436,4180,4186.282051,4201.794872,4147.692307,4190.641026,4355.512821,4030.76923,4225
4197.307692,4207.179487,4185.25641,4202.179487,4147.948718,4197.820513,4187.435897,4188.076923,4205.25641,4146.923077,4197.820513,4351.153846,3912.564102,4227.948718
4199.487179,4203.846154,4186.666667,4199.358974,4145.128205,4200.25641,4186.153846,4192.692308,4208.846154,4147.564102,4204.615385,4351.410257,3843.974358,4232.179487
4200.641026,4208.846154,4192.307692,4202.179487,4145.25641,4200.51282,4181.538461,4197.179487,4207.307692,4147.692307,4211.538461,4358.974359,3817.051281,4237.051282
4205.641026,4219.871795,4201.025641,4206.025641,4142.692307,4200.769231,4184.102564,4201.410256,4210.51282,4145.769231,4219.358974,4362.820513,3833.461538,4240.384615
4211.923077,4224.74359,4203.846154,4208.333333,4146.025641,4202.179487,4186.666667,4202.564103,4218.589744,4146.794872,4228.461538,4359.358975,3868.846153,4243.333333
4212.948718,4220.641026,4201.025641,4206.025641,4146.410256,4204.102564,4185,4199.230769,4217.820513,4149.487179,4231.538461,4356.410257,3892.179486,4242.820513
4212.179487,4212.564103,4198.974359,4201.538461,4141.410256,4204.615385,4189.102564,4199.487179,4213.846154,4149.102564,4230.897436,4356.410257,3918.205128,4240.25641
4213.589744,4209.358974,4199.74359,4203.076923,4146.538461,4203.205128,4195.384615,4202.564103,4217.820513,4147.692307,4238.461538,4364.102564,3949.871794,4242.948718
